ObjectID,bponOntEquipId,bponOntSerialNumber,bponOntSubscriberId1,bponOntSubscriberLocId,ifAdminStatus,ifOperStatus
R1.S1.LT1.PON3.ONT3,NOCLEICODEG240WA,ALCLF87165B5,PBOxx-Fx,22515735,up,up
R1.S1.LT1.PON4.ONT6,NOCLEICODEG240WA,ALCLF87152B5,,WILDCARD,up,down
R1.S1.LT1.PON6.ONT4,     00000G240WF,ALCLB3A5CAA2,,22258980,up,down
R1.S1.LT1.PON3.ONT4,,ALCLF87158DB,,WILDCARD,up,down
R1.S1.LT1.PON4.ONT3,NOCLEICODEG240WA,ALCLF8716D1F,,WILDCARD,up,down
R1.S1.LT1.PON3.ONT5,NOCLEICODEG240WA,ALCLF8717373,,WILDCARD,up,down
R1.S1.LT1.PON4.ONT8,NOCLEICODEG240WA,ALCLF8716A58,,WILDCARD,up,up
R1.S1.LT1.PON5.ONT3,,ALCLF8716220,,WILDCARD,up,down
R1.S1.LT1.PON6.ONT6,     00000G240WF,ALCLB3A5CB4E,,22503689,up,up
R1.S1.LT1.PON3.ONT6,NOCLEICODEG240WA,ALCLF87170A0,,WILDCARD,up,up
R1.S1.LT1.PON4.ONT5,,ALCLF87169DC,,WILDCARD,up,down
R1.S1.LT1.PON5.ONT4,,ALCLF87150C3,,WILDCARD,up,down
R1.S1.LT1.PON6.ONT3,     00000G240WF,ALCLB3A7CBCF,,22504903,up,down
R1.S1.LT1.PON4.ONT4,NOCLEICODEG240WA,ALCLF8716E76,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT1,NOCLEICODEG240WA,ALCLF871654F,,WILDCARD,up,up
R1.S1.LT1.PON9.ONT2,NOCLEICODEG240WA,ALCLF8716898,,WILDCARD,up,up
R1.S1.LT1.PON8.ONT2,,ALCLF87163EE,,22252877,up,down
R1.S1.LT1.PON7.ONT1,NOCLEICODEG240WA,ALCLF8715918,,WILDCARD,up,down
R1.S1.LT1.PON7.ONT2,NOCLEICODEG240WA,ALCLF87164C1,,WILDCARD,up,up
R1.S1.LT1.PON8.ONT1,NOCLEICODEG240WA,ALCLF87164DE,,22253159,up,up
