ObjectID,extendPortTotalDnDiscByteCounter,extendPortTotalDnFwdByteCounter,extendPortTotalUpDiscByteCounter,extendPortTotalUpFwdByteCounter,ifOperStatus
R1.S1.LT1.PON1.ONT27.C1.P1,0,703058653421,1918302404,620707521796,up
R1.S1.LT1.PON3.ONT3.C14.P1,0,17894439694913,0,1584317555622,up
R1.S1.LT1.PON4.ONT6.C14.P1,0,49055,0,135069,down
R1.S1.LT1.PON6.ONT4.C14.P1,0,289647493,0,88840747,down
R1.S1.LT1.PON3.ONT4.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT3.C14.P1,0,8160286049021,21706,642168609352,down
R1.S1.LT1.PON4.ONT4.C14.P1,0,1675287,0,6069665,down
R1.S1.LT1.PON1.ONT20.C1.P1,0,324029523297,416,45026393793,up
R1.S1.LT1.PON10.ONT10.C14.P1,0,0,0,0,down
R1.S1.LT1.PON11.ONT13.C14.P1,0,0,0,0,down
R1.S1.LT1.PON13.ONT11.C14.P1,0,147514190300,0,36194447888,up
R1.S1.LT1.PON16.ONT12.C14.P1,0,21653231633,0,1654873761,up
R1.S1.LT1.PON10.ONT11.C14.P1,0,289713475949,14158,26104794398,up
R1.S1.LT1.PON11.ONT10.C14.P1,0,3668527781848,22687,423686881661,up
R1.S1.LT1.PON16.ONT13.C14.P1,0,4487597129451,0,850533505937,up
R1.S1.LT1.PON11.ONT11.C14.P1,0,29570314946215,632,2792997131537,up
R1.S1.LT1.PON14.ONT12.C14.P1,0,0,0,0,down
R1.S1.LT1.PON16.ONT10.C14.P1,0,1107565531288,20698,190907287214,up
R1.S1.LT1.PON14.ONT13.C14.P1,0,7466286171897,35969,680347631240,up
R1.S1.LT1.PON15.ONT12.C14.P1,0,9716518985353,15006,831870140402,up
R1.S1.LT1.PON16.ONT11.C14.P1,0,466836462154,0,41210336528,up
R1.S1.LT1.PON14.ONT10.C14.P1,0,269894671925,0,60939851330,down
R1.S1.LT1.PON15.ONT13.C14.P1,0,0,0,0,down
R1.S1.LT1.PON14.ONT11.C14.P1,0,0,0,0,down
R1.S1.LT1.PON15.ONT10.C14.P1,0,4082628307331,8310,460398781270,up
R1.S1.LT1.PON12.ONT18.C14.P1,0,2534833673218,23172,201110224069,up
R1.S1.LT1.PON15.ONT11.C14.P1,0,1226636064690,500,105062552959,up
R1.S1.LT1.PON12.ONT19.C14.P1,0,1141704162632,0,929464663055,up
R1.S1.LT1.PON13.ONT18.C14.P1,0,1332102869505,11878,32833907847,up
R1.S1.LT1.PON10.ONT18.C14.P1,0,13229321688194,17078,1167804960392,up
R1.S1.LT1.PON12.ONT16.C14.P1,0,0,0,0,down
R1.S1.LT1.PON13.ONT19.C14.P1,0,15005969547507,7955,1870090700165,up
R1.S1.LT1.PON10.ONT19.C14.P1,0,0,0,0,down
R1.S1.LT1.PON11.ONT18.C14.P1,0,0,0,0,down
R1.S1.LT1.PON12.ONT17.C14.P1,0,1078921827651,13460,106209421242,up
R1.S1.LT1.PON13.ONT16.C14.P1,0,0,0,0,down
R1.S1.LT1.PON10.ONT16.C14.P1,0,3745097335286,0,287432657863,up
R1.S1.LT1.PON11.ONT19.C14.P1,0,1961533157282,18690,1556831285395,up
R1.S1.LT1.PON12.ONT14.C14.P1,0,2589013942218,4356,185478675928,up
R1.S1.LT1.PON13.ONT17.C14.P1,0,0,0,0,down
R1.S1.LT1.PON16.ONT18.C14.P1,0,1145818277040,3708,136856331483,up
R1.S1.LT1.PON13.ONT14.C14.P1,0,0,0,0,down
R1.S1.LT1.PON10.ONT17.C14.P1,0,10861638961114,37932,759887635113,up
R1.S1.LT1.PON11.ONT16.C14.P1,0,0,0,0,down
R1.S1.LT1.PON12.ONT15.C14.P1,0,1407549215956,37009,526860802449,up
R1.S1.LT1.PON16.ONT19.C14.P1,0,1162665884661,46975,253597828392,down
R1.S1.LT1.PON13.ONT15.C14.P1,0,214879229622,4518,11150979170,down
R1.S1.LT1.PON10.ONT14.C14.P1,0,1777521545456,4130,306967639055,up
R1.S1.LT1.PON11.ONT17.C14.P1,0,0,0,0,down
R1.S1.LT1.PON14.ONT18.C14.P1,0,190529748303,3574,26940316614,down
R1.S1.LT1.PON16.ONT16.C14.P1,0,1267748,0,3899835,down
R1.S1.LT1.PON10.ONT15.C14.P1,0,20176790544792,83215,2074511492295,up
R1.S1.LT1.PON11.ONT14.C14.P1,0,0,0,0,down
R1.S1.LT1.PON14.ONT19.C14.P1,0,4318165240839,10080,709388943357,up
R1.S1.LT1.PON16.ONT17.C14.P1,0,2177089169246,6169,830465833356,up
R1.S1.LT1.PON11.ONT15.C14.P1,0,1376331837838,0,250512819681,up
R1.S1.LT1.PON14.ONT16.C14.P1,0,14144647133251,131558,910302914708,up
R1.S1.LT1.PON15.ONT19.C14.P1,0,1110310448712,10601,155880528852,up
R1.S1.LT1.PON16.ONT14.C14.P1,0,1762821395254,15625,168880004948,down
R1.S1.LT1.PON14.ONT17.C14.P1,0,0,0,0,down
R1.S1.LT1.PON15.ONT16.C14.P1,0,0,0,0,down
R1.S1.LT1.PON16.ONT15.C14.P1,0,1368938549061,0,154729599015,up
R1.S1.LT1.PON12.ONT12.C14.P1,0,1783505911897,3258,208821629492,up
R1.S1.LT1.PON12.ONT13.C14.P1,0,1693833450707,3660,158210633922,down
R1.S1.LT1.PON13.ONT12.C14.P1,0,9753557302869,0,663466118721,up
R1.S1.LT1.PON10.ONT12.C14.P1,0,490149288740,0,64963680444,up
R1.S1.LT1.PON12.ONT10.C14.P1,0,1691257349901,9886,163636963505,up
R1.S1.LT1.PON13.ONT13.C14.P1,0,4114836515787,8414,379334476082,up
R1.S1.LT1.PON10.ONT13.C14.P1,0,5402205936435,18274,376922104387,up
R1.S1.LT1.PON11.ONT12.C14.P1,0,0,0,0,down
R1.S1.LT1.PON12.ONT11.C14.P1,0,2877589,0,554775,down
R1.S1.LT1.PON13.ONT10.C14.P1,0,3344368862278,28522,324117357257,up
R1.S1.LT1.PON3.ONT25.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT28.C14.P1,0,441148497385,632,18234127073,up
